service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_name
2f3c50476051092c755d,1,1,1,1,1,0,0,20260418,20260831,"2026-04-18 → 08-31 (11 lun, 9 mar, 10 mer, 10 jeu, 10 ven, 4 sam)"
3072727540640e215236,1,1,1,0,1,0,0,20260313,20260831,"2026-03-13 → 08-31 (23 lun, 23 mar, 24 mer, 23 ven)"
310c545b6d5159571c44,1,1,1,1,1,1,1,20260701,20260831,"2026-07-01 → 08-31 (9 lun, 8 mar, 9 mer, 9 jeu, 9 ven, 9 sam, 9 dim)"
324b48675727631d242f,0,0,1,0,0,0,0,20260318,20260701,"2026-03-18 → 07-01 (2 lun, 2 mar, 16 mer, 2 jeu, 2 ven)"
32661b0d684b5a374827,1,1,0,1,0,0,0,20260402,20260702,"2026-04-02 → 07-02 (9 lun, 11 mar, 11 jeu)"
3273567b293a6048335b,0,0,1,0,0,0,0,20260401,20260701,2026-04-01 → 07-01 (12 mer)
334d2d287c091d490e22,1,1,0,1,1,0,0,20260312,20260601,"2026-03-12 → 06-01 (10 lun, 11 mar, 2 mer, 11 jeu, 10 ven)"
34-5407,0,0,0,0,0,0,1,20260301,20260628,2025-09-07 → 2026-06-28 (43 dim)
34-5412,1,1,1,1,1,1,1,20260301,20260731,"2025-08-01 → 2026-07-31 (52 lun, 52 mar, 52 mer, 52 jeu, 52 ven, 52 sam, 52 dim)"
34-5444,1,1,1,1,1,1,0,20260302,20260703,"2025-09-01 → 2026-07-03 (44 lun, 44 mar, 44 mer, 44 jeu, 43 ven, 43 sam)"
34-5514,1,1,1,1,1,1,1,20260301,20260703,"2025-09-01 → 2026-07-03 (44 lun, 44 mar, 44 mer, 44 jeu, 43 ven, 43 sam, 43 dim)"
34-5518,0,0,0,0,1,0,0,20260313,20260703,"2025-09-05 → 2026-07-03 (lun, mer, 35 ven)"
34-5541,1,1,1,1,1,1,1,20260301,20260612,"2025-09-01 → 2026-06-12 (41 lun, 41 mar, 41 mer, 41 jeu, 40 ven, 40 sam, 40 dim)"
34-5542,1,1,1,1,1,1,0,20260302,20260612,"2025-09-01 → 2026-06-12 (41 lun, 41 mar, 41 mer, 41 jeu, 40 ven, 40 sam)"
34-5695,1,1,0,1,1,0,0,20260309,20260703,"2025-09-01 → 2026-07-03 (34 lun, 35 mar, 35 jeu, 35 ven)"
34-5696,1,1,1,1,1,0,0,20260309,20260703,"2025-09-01 → 2026-07-03 (34 lun, 35 mar, 36 mer, 35 jeu, 35 ven)"
34-5697,0,0,1,0,0,0,0,20260311,20260701,2025-09-03 → 2026-07-01 (36 mer)
34-5701,1,0,0,0,0,0,0,20260309,20260629,2025-09-01 → 2026-06-29 (34 lun)
34-5702,0,0,0,0,1,0,0,20260313,20260703,2025-09-05 → 2026-07-03 (35 ven)
34-5708,1,1,1,1,1,1,0,20260302,20260703,"2025-09-01 → 2026-07-03 (42 lun, 43 mar, 44 mer, 41 jeu, 42 ven, 42 sam)"
34-5714,0,1,0,0,0,0,0,20260310,20260630,2025-09-02 → 2026-06-30 (35 mar)
34-5715,1,1,1,1,0,0,0,20260309,20260702,"2025-09-01 → 2026-07-02 (34 lun, 35 mar, 36 mer, 35 jeu)"
34-5716,0,0,1,0,0,1,0,20260311,20260701,"2025-09-03 → 2026-07-01 (36 mer, 31 sam)"
34-5717,0,0,0,0,0,1,0,20260302,20260502,"2025-10-18 → 2026-05-02 (8 lun, 8 mar, 8 mer, 6 jeu, 7 ven, 11 sam)"
34-5721,1,1,1,1,1,1,0,20260309,20260703,"2025-09-01 → 2026-07-03 (34 lun, 35 mar, 36 mer, 35 jeu, 35 ven, 31 sam)"
34-5722,0,0,0,0,0,1,0,20260314,20260627,2025-09-06 → 2026-06-27 (31 sam)
34-5724,1,0,1,1,1,0,0,20260309,20260703,"2025-09-01 → 2026-07-03 (34 lun, 36 mer, 35 jeu, 35 ven)"
34-5726,1,1,0,1,1,1,0,20260309,20260703,"2025-09-01 → 2026-07-03 (34 lun, 35 mar, 35 jeu, 35 ven, 31 sam)"
34-5730,1,1,1,1,1,0,0,20260302,20260703,"2025-09-01 → 2026-07-03 (42 lun, 43 mar, 44 mer, 41 jeu, 42 ven)"
34-5745,0,0,0,0,0,0,1,20260315,20260628,2025-09-07 → 2026-06-28 (31 dim)
34-5749,0,0,0,0,0,0,1,20260301,20260628,"2025-09-07 → 2026-06-28 (2 lun, mar, 3 jeu, 2 ven, sam, 43 dim)"
34-5750,0,0,0,0,0,1,0,20260307,20260627,2025-09-06 → 2026-06-27 (42 sam)
34-5751,0,0,0,0,0,0,0,20260302,20260430,"2025-10-20 → 2026-04-30 (8 lun, 8 mar, 8 mer, 6 jeu, 7 ven)"
